sentence	token	label
	The	O
	law	O
	should	O
	be	O
	amended	O
	to	O
	give	O
	the	O
	truth	O
	Justice	B-ORG
	and	I-ORG
	Reconciliation	I-ORG
	commission	I-ORG
	more	O
	powers	O
	and	O
	speed	O
	up	O
	its	O
	work	O
	","	O
	Deputy	O
	speaker	O
	Farah	B-ADLT
	Maalim	I-ADLT
	was	O
	saying	O
	during	O
	the	O
	consultative	O
	meeting	O
	in	O
	western	B-LOC
	Kenya	I-LOC
	.	O
	Unless	O
	you	O
	have	O
	independence	O
	","	O
	You	O
	will	O
	not	O
	go	O
	anywhere	O
	.	O
	Its	O
	therefore	O
	propose	O
	that	O
	the	O
	Act	O
	be	O
	amended	O
	to	O
	allow	O
	the	O
	commission	O
	when	O
	acting	O
	on	O
	issues	O
	have	O
	independence	O
	.	O
	stop-x	stop-x
		
	Misia	B-ADLT
	","	O
	a	O
	Japanese	O
	musician	O
	took	O
	a	O
	tour	O
	in	O
	2009	O
	to	O
	Kibera	B-LOC
	slum	I-LOC
	.	O
	She	O
	saw	O
	how	O
	the	O
	people	O
	lived	O
	there	O
	and	O
	she	O
	decided	O
	to	O
	to	O
	help	O
	some	O
	children	O
	who	O
	she	O
	saw	O
	singing	O
	.	O
	They	O
	sang	O
	very	O
	well	O
	and	O
	deeply	O
	from	O
	singing	O
	their	O
	heart	O
	.	O
	She	O
	accepted	O
	to	O
	pay	O
	for	O
	their	O
	school	O
	fees	O
	and	O
	provide	O
	them	O
	with	O
	food	O
	and	O
	shelter	O
	.	O
	The	O
	children	O
	were	O
	happy	O
	and	O
	they	O
	all	O
	joined	O
	a	O
	nearby	O
	school	O
	which	O
	Misia	B-ADLT
	had	O
	visited	O
	.	O
	The	O
	school	O
	is	O
	MAGOSO	B-ORG
	where	O
	they	O
	were	O
	given	O
	a	O
	place	O
	to	O
	live	O
	and	O
	food	O
	to	O
	eat	O
	.	O
	All	O
	their	O
	need	O
	were	O
	being	O
	paid	O
	for	O
	by	O
	Misia	B-ADLT
	who	O
	was	O
	a	O
	very	O
	good	O
	Samaritan	O
	.	O
	The	O
	children	O
	still	O
	live	O
	to	O
	thank	O
	Misia	B-ADLT
	for	O
	helping	O
	and	O
	delivering	O
	them	O
	from	O
	their	O
	situation	O
	.	O
	stop-x	stop-x
		
	Nivea	B-ADLT
	is	O
	27	O
	years	O
	old	O
	here	O
	in	O
	East	B-LOC
	Africa	I-LOC
	however	O
	at	O
	a	O
	global	O
	level	O
	","	O
	2011	O
	marks	O
	","	O
	NIVEA	B-ADLT
	's	O
	100th	O
	anniversary	O
	.	O
	NIVEA	B-ADLT
	is	O
	one	O
	of	O
	the	O
	most	O
	world	O
	's	O
	trusted	O
	skincare	O
	brands	O
	","	O
	but	O
	it	O
	took	O
	three	O
	minds	O
	.	O
	with	O
	one	O
	shared	O
	vision	O
	to	O
	make	O
	it	O
	happen	O
	.	O
	During	O
	the	O
	past	O
	century	O
	","	O
	NIVEA	B-ADLT
	has	O
	been	O
	a	O
	constant	O
	companion	O
	for	O
	the	O
	millions	O
	of	O
	people	O
	including	O
	some	O
	of	O
	the	O
	most	O
	recognizable	O
	faces	O
	in	O
	the	O
	world	O
	Global	O
	music	O
	icon	O
	Rihanna	B-ADLT
	is	O
	one	O
	of	O
	those	O
	recognizable	O
	faces	O
	","	O
	and	O
	now	O
	celebrating	O
	100th	O
	anniversary	O
	.	O
	NIVEA	B-ADLT
	is	O
	dedicated	O
	to	O
	making	O
	people	O
	feel	O
	comfortable	O
	in	O
	their	O
	own	O
	skin	O
	.	O
	NIVEA	B-ADLT
	is	O
	good	O
	and	O
	better	O
	for	O
	skin	O
	care	O
	so	O
	its	O
	good	O
	to	O
	use	O
	NIVEA	B-ADLT
	in	O
	your	O
	family	O
	.	O
	stop-x	stop-x
		
	The	O
	most	O
	dangerous	O
	disease	O
	which	O
	kills	O
	a	O
	big	O
	number	O
	of	O
	people	O
	a	O
	day	O
	is	O
	aids	O
	.	O
	Aids	O
	does	O
	not	O
	choose	O
	whom	O
	to	O
	kill	O
	.	O
	It	O
	kills	O
	everybody	O
	the	O
	rich	O
	","	O
	poor	O
	","	O
	orphans	O
	and	O
	disabled	O
	people	O
	.	O
	In	O
	Kibera	B-LOC
	one	O
	of	O
	the	O
	biggest	O
	slums	O
	in	O
	the	O
	world	O
	the	O
	epidermis	O
	is	O
	everywhere	O
	and	O
	kills	O
	many	O
	youths	O
	daily	O
	.	O
	In	O
	Kibera	B-LOC
	the	O
	people	O
	who	O
	are	O
	mostly	O
	attacked	O
	by	O
	this	O
	dangerous	O
	disease	O
	are	O
	the	O
	youths	O
	who	O
	engage	O
	in	O
	pre	O
	-	O
	marital	O
	sex	O
	.	O
	The	O
	government	O
	once	O
	tried	O
	to	O
	help	O
	them	O
	but	O
	it	O
	has	O
	not	O
	able	O
	.	O
	The	O
	Kenyan	B-ORG
	government	I-ORG
	introduced	O
	free	O
	condoms	O
	to	O
	the	O
	youths	O
	which	O
	reduced	O
	the	O
	percentage	O
	of	O
	infection	O
	.	O
	The	O
	free	O
	condoms	O
	helped	O
	some	O
	youths	O
	but	O
	some	O
	was	O
	like	O
	playing	O
	a	O
	guitar	O
	to	O
	a	O
	goat	O
	.	O
	Nowadays	O
	some	O
	of	O
	these	O
	condoms	O
	are	O
	fake	O
	and	O
	contribute	O
	to	O
	the	O
	spread	O
	of	O
	HIV	O
	/	O
	AIDS	O
	epidermis	O
	.	O
	stop-x	stop-x
		
	Jeff	B-ADLT
	Koinange	I-ADLT
	is	O
	a	O
	Kenyan	O
	journalist	O
	commonly	O
	known	O
	for	O
	his	O
	30	O
	mins	O
	interview	O
	programme	O
	called	O
	the	O
	bench	O
	.	O
	Jeff	O
	has	O
	his	O
	own	O
	television	O
	station	O
	known	O
	as	O
	K24	B-ORG
	which	O
	is	O
	the	O
	award	O
	winning	O
	station	O
	in	O
	the	O
	CNN	B-ORG
	Africa	B-LOC
	journalists	O
	of	O
	the	O
	year	O
	award	O
	.	O
	In	O
	his	O
	programme	O
	he	O
	hosts	O
	great	O
	people	O
	with	O
	great	O
	legacy	O
	","	O
	they	O
	come	O
	inspire	O
	us	O
	through	O
	their	O
	talk	O
	","	O
	he	O
	also	O
	interviews	O
	our	O
	leaders	O
	and	O
	we	O
	get	O
	to	O
	hear	O
	their	O
	manifestos	O
	and	O
	also	O
	future	O
	plans	O
	.	O
	Crucial	O
	topics	O
	are	O
	discussed	O
	and	O
	solutions	O
	given	O
	to	O
	some	O
	of	O
	our	O
	problems	O
	.	O
	Through	O
	his	O
	programme	O
	important	O
	is	O
	passed	O
	across	O
	the	O
	country	O
	and	O
	also	O
	the	O
	programme	O
	creates	O
	a	O
	lot	O
	of	O
	awareness	O
	.	O
	His	O
	programme	O
	is	O
	one	O
	that	O
	can	O
	not	O
	be	O
	afforded	O
	to	O
	be	O
	missed	O
	and	O
	everyone	O
	is	O
	always	O
	eager	O
	to	O
	watch	O
	it	O
	daily	O
	.	O
	stop-x	stop-x
		
	The	O
	Olympic	B-ORG
	games	I-ORG
	are	O
	among	O
	the	O
	most	O
	popular	O
	sports	O
	competitions	O
	that	O
	attract	O
	worldwide	O
	attention	O
	the	O
	games	O
	started	O
	in	O
	Greece	O
	776	O
	BC	O
	.	O
	They	O
	are	O
	held	O
	every	O
	four	O
	four	O
	years	O
	in	O
	a	O
	different	O
	country	O
	.	O
	In	O
	2008	O
	the	O
	Olympic	B-ORG
	Games	I-ORG
	were	O
	held	O
	in	O
	Kenya	B-LOC
	.	O
	Many	O
	people	O
	came	O
	to	O
	see	O
	how	O
	their	O
	players	O
	were	O
	going	O
	to	O
	participate	O
	in	O
	the	O
	athletes	O
	.	O
	There	O
	were	O
	special	O
	traffic	O
	and	O
	parking	O
	arrangements	O
	for	O
	the	O
	games	O
	.	O
	Spectators	O
	","	O
	athletes	O
	and	O
	officials	O
	made	O
	their	O
	way	O
	to	O
	venues	O
	.	O
	The	O
	games	O
	were	O
	full	O
	of	O
	surprises	O
	.	O
	Other	O
	Olympic	O
	and	O
	world	O
	records	O
	were	O
	set	O
	in	O
	different	O
	events	O
	.	O
	In	O
	steeplechase	O
	","	O
	Kenyan	O
	athletes	O
	dominated	O
	in	O
	their	O
	spectacular	O
	manner	O
	winning	O
	the	O
	first	O
	three	O
	position	O
	.	O
	stop-x	stop-x
		
	Poverty	O
	is	O
	the	O
	living	O
	a	O
	poor	O
	lifestyle	O
	.	O
	Many	O
	people	O
	around	O
	the	O
	world	O
	are	O
	poor	O
	beggars	O
	and	O
	hustlers	O
	.	O
	These	O
	people	O
	are	O
	living	O
	in	O
	difficult	O
	conditions	O
	which	O
	make	O
	some	O
	of	O
	them	O
	perish	O
	.	O
	In	O
	my	O
	neighbourhood	O
	","	O
	there	O
	lived	O
	a	O
	poor	O
	man	O
	known	O
	as	O
	Wambui	B-ADLT
	.	O
	Wambui	B-ADLT
	was	O
	poor	O
	and	O
	sometimes	O
	had	O
	to	O
	beg	O
	from	O
	people	O
	around	O
	the	O
	town	O
	to	O
	earn	O
	a	O
	living	O
	.	O
	One	O
	day	O
	Wambui	B-ADLT
	was	O
	blessed	O
	with	O
	a	O
	job	O
	.	O
	He	O
	helped	O
	business	O
	men	O
	and	O
	women	O
	to	O
	carry	O
	their	O
	goods	O
	from	O
	the	O
	market	O
	to	O
	their	O
	various	O
	business	O
	locations	O
	.	O
	Wambui	B-ADLT
	used	O
	the	O
	money	O
	he	O
	got	O
	from	O
	the	O
	business	O
	men	O
	and	O
	women	O
	carefully	O
	while	O
	some	O
	he	O
	saved	O
	.	O
	Wambui	B-ADLT
	had	O
	a	O
	dream	O
	of	O
	becoming	O
	a	O
	driver	O
	in	O
	future	O
	.	O
	After	O
	10	O
	years	O
	of	O
	doing	O
	the	O
	same	O
	job	O
	Wambui	B-ADLT
	bought	O
	his	O
	own	O
	motor	O
	bike	O
	and	O
	started	O
	transporting	O
	goods	O
	and	O
	people	O
	from	O
	the	O
	market	O
	to	O
	the	O
	town	O
	.	O
	After	O
	another	O
	five	O
	years	O
	Wambui	B-ADLT
	had	O
	saved	O
	enough	O
	a	O
	Nissan	O
	and	O
	he	O
	used	O
	it	O
	to	O
	transport	O
	people	O
	from	O
	Nagumo	B-LOC
	to	O
	the	O
	town	O
	.	O
	stop-x	stop-x
		
	In	O
	my	O
	village	O
	there	O
	lived	O
	a	O
	teenager	O
	who	O
	lived	O
	used	O
	to	O
	disturb	O
	","	O
	seduce	O
	and	O
	rape	O
	young	O
	girls	O
	.	O
	The	O
	teenager	O
	was	O
	known	O
	as	O
	Njoroge	B-MINR
	.	O
	He	O
	dropped	O
	out	O
	of	O
	school	O
	and	O
	started	O
	his	O
	small	O
	business	O
	of	O
	showing	O
	films	O
	.	O
	He	O
	would	O
	run	O
	the	O
	business	O
	up	O
	to	O
	six	O
	o	O
		O
	clock	O
	in	O
	the	O
	evening	O
	and	O
	then	O
	love	O
	young	O
	girls	O
	to	O
	his	O
	dirty	O
	house	O
	.	O
	most	O
	of	O
	the	O
	girls	O
	loved	O
	were	O
	school	O
	girls	O
	.	O
	He	O
	had	O
	sex	O
	with	O
	almost	O
	all	O
	the	O
	girls	O
	in	O
	the	O
	village	O
	.	O
	Half	O
	of	O
	the	O
	number	O
	ended	O
	being	O
	pregnant	O
	while	O
	some	O
	were	O
	infected	O
	with	O
	dangerous	O
	diseases	O
	.	O
	When	O
	time	O
	passed	O
	by	O
	Njoroge	B-MINR
	raped	O
	a	O
	class	O
	seven	O
	girl	O
	but	O
	he	O
	thought	O
	he	O
	would	O
	not	O
	be	O
	noticed	O
	.	O
	The	O
	girl	O
	reported	O
	the	O
	arse	O
	to	O
	the	O
	village	O
	chief	O
	.	O
	Njoroge	B-MINR
	was	O
	arrested	O
	for	O
	raping	O
	a	O
	school	O
	girl	O
	.	O
	He	O
	was	O
	imprisoned	O
	for	O
	five	O
	years	O
	when	O
	Njoroge	B-MINR
	came	O
	back	O
	he	O
	had	O
	changed	O
	his	O
	behaviour	O
	and	O
	respected	O
	young	O
	girls	O
	and	O
	their	O
	rights	O
	.	O
	stop-x	stop-x
		
	Kenya	B-LOC
	's	O
	leap	O
	in	O
	fight	O
	against	O
	cancer	O
	but	O
	now	O
	we	O
	have	O
	the	O
	latest	O
	screening	O
	treatment	O
	technology	O
	available	O
	for	O
	east	O
	Africans	O
	Kenya	B-LOC
	has	O
	consolidated	O
	its	O
	position	O
	as	O
	regional	O
	medical	O
	hub	O
	with	O
	the	O
	opening	O
	of	O
	heart	O
	and	O
	cancer	O
	centre	O
	in	O
	Nairobi	B-LOC
	.	O
	The	O
	centre	O
	at	O
	the	O
	Aga	B-ORG
	khan	I-ORG
	university	I-ORG
	hospital	I-ORG
	is	O
	equipped	O
	with	O
	latest	O
	screening	O
	and	O
	treatment	O
	technologies	O
	.	O
	it	O
	will	O
	be	O
	the	O
	first	O
	region	O
	to	O
	do	O
	research	O
	on	O
	heart	O
	and	O
	cancer	O
	disease	O
	that	O
	is	O
	in	O
	Africa	B-LOC
	.	O
	There	O
	is	O
	no	O
	doubt	O
	since	O
	the	O
	doctors	O
	will	O
	alleviate	O
	the	O
	rise	O
	of	O
	non	O
	-	O
	communicable	O
	disease	O
	in	O
